Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-10-14 00:00:00,11.3007,,
temp,2024-10-14 01:00:00,11.3867,,
temp,2024-10-14 02:00:00,11.3388,,
temp,2024-10-14 03:00:00,11.3018,,
temp,2024-10-14 04:00:00,11.4189,,
temp,2024-10-14 05:00:00,11.3585,,
temp,2024-10-14 06:00:00,11.2842,,
temp,2024-10-14 07:00:00,11.2546,,
temp,2024-10-14 08:00:00,11.259,,
temp,2024-10-14 09:00:00,11.2913,,
temp,2024-10-14 10:00:00,11.327,,
temp,2024-10-14 11:00:00,11.3912,,
temp,2024-10-14 12:00:00,11.364,,
temp,2024-10-14 13:00:00,11.3459,,
temp,2024-10-14 14:00:00,11.3816,,
temp,2024-10-14 15:00:00,11.3762,,
temp,2024-10-14 16:00:00,11.3431,,
temp,2024-10-14 17:00:00,11.3223,,
temp,2024-10-14 18:00:00,11.3082,,
temp,2024-10-14 19:00:00,11.262,,
temp,2024-10-14 20:00:00,11.1675,,
temp,2024-10-14 21:00:00,11.0508,,
temp,2024-10-14 22:00:00,11.059,,
temp,2024-10-14 23:00:00,11.0438,,
