Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-08-26 00:00:00,10.6367,,
temp,2024-08-26 01:00:00,10.6446,,
temp,2024-08-26 02:00:00,10.6578,,
temp,2024-08-26 03:00:00,10.6558,,
temp,2024-08-26 04:00:00,10.6712,,
temp,2024-08-26 05:00:00,10.7072,,
temp,2024-08-26 06:00:00,10.7313,,
temp,2024-08-26 07:00:00,10.6652,,
temp,2024-08-26 08:00:00,10.6066,,
temp,2024-08-26 09:00:00,10.6493,,
temp,2024-08-26 10:00:00,10.6619,,
temp,2024-08-26 11:00:00,10.6197,,
temp,2024-08-26 12:00:00,10.6035,,
temp,2024-08-26 13:00:00,10.599,,
temp,2024-08-26 14:00:00,10.6566,,
temp,2024-08-26 15:00:00,10.7099,,
temp,2024-08-26 16:00:00,10.7983,,
temp,2024-08-26 17:00:00,10.8628,,
temp,2024-08-26 18:00:00,10.9304,,
temp,2024-08-26 19:00:00,11.0153,,
temp,2024-08-26 20:00:00,11.0648,,
temp,2024-08-26 21:00:00,11.0175,,
temp,2024-08-26 22:00:00,10.9961,,
temp,2024-08-26 23:00:00,11.0135,,
