Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-27 00:00:00,11.4254,,
temp,2024-09-27 01:00:00,11.4041,,
temp,2024-09-27 02:00:00,11.3851,,
temp,2024-09-27 03:00:00,11.3801,,
temp,2024-09-27 04:00:00,11.3801,,
temp,2024-09-27 05:00:00,11.3836,,
temp,2024-09-27 06:00:00,11.3779,,
temp,2024-09-27 07:00:00,11.3624,,
temp,2024-09-27 08:00:00,11.3493,,
temp,2024-09-27 09:00:00,11.3187,,
temp,2024-09-27 10:00:00,11.2621,,
temp,2024-09-27 11:00:00,11.3018,,
temp,2024-09-27 12:00:00,11.525,,
temp,2024-09-27 13:00:00,11.6254,,
temp,2024-09-27 14:00:00,11.6406,,
temp,2024-09-27 15:00:00,12.072,,
temp,2024-09-27 16:00:00,12.4354,,
temp,2024-09-27 17:00:00,12.5771,,
temp,2024-09-27 18:00:00,12.3622,,
temp,2024-09-27 19:00:00,12.0393,,
temp,2024-09-27 20:00:00,11.785,,
temp,2024-09-27 21:00:00,11.5135,,
temp,2024-09-27 22:00:00,11.4817,,
temp,2024-09-27 23:00:00,11.4703,,
