Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-10-01 00:00:00,11.716,,
temp,2024-10-01 01:00:00,11.6229,,
temp,2024-10-01 02:00:00,11.6696,,
temp,2024-10-01 03:00:00,11.6689,,
temp,2024-10-01 04:00:00,11.665,,
temp,2024-10-01 05:00:00,11.6707,,
temp,2024-10-01 06:00:00,11.6158,,
temp,2024-10-01 07:00:00,11.5773,,
temp,2024-10-01 08:00:00,11.5906,,
temp,2024-10-01 09:00:00,11.5995,,
temp,2024-10-01 10:00:00,11.6225,,
temp,2024-10-01 11:00:00,11.7337,,
temp,2024-10-01 12:00:00,11.8154,,
temp,2024-10-01 13:00:00,11.8356,,
temp,2024-10-01 14:00:00,12.2473,,
temp,2024-10-01 15:00:00,12.1758,,
temp,2024-10-01 16:00:00,12.0784,,
temp,2024-10-01 17:00:00,12.0725,,
temp,2024-10-01 18:00:00,11.8813,,
temp,2024-10-01 19:00:00,11.853,,
temp,2024-10-01 20:00:00,11.9337,,
temp,2024-10-01 21:00:00,11.8997,,
temp,2024-10-01 22:00:00,11.8749,,
temp,2024-10-01 23:00:00,11.8286,,
