Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-08-27 00:00:00,11.0102,,
temp,2024-08-27 01:00:00,10.9919,,
temp,2024-08-27 02:00:00,10.9801,,
temp,2024-08-27 03:00:00,10.982,,
temp,2024-08-27 04:00:00,10.9705,,
temp,2024-08-27 05:00:00,10.9736,,
temp,2024-08-27 06:00:00,10.9552,,
temp,2024-08-27 07:00:00,10.9329,,
temp,2024-08-27 08:00:00,10.9065,,
temp,2024-08-27 09:00:00,10.9005,,
temp,2024-08-27 10:00:00,10.8927,,
temp,2024-08-27 11:00:00,10.898,,
temp,2024-08-27 12:00:00,10.9054,,
temp,2024-08-27 13:00:00,10.903,,
temp,2024-08-27 14:00:00,10.9278,,
temp,2024-08-27 15:00:00,10.9256,,
temp,2024-08-27 16:00:00,11.0371,,
temp,2024-08-27 17:00:00,11.0124,,
temp,2024-08-27 18:00:00,11.0214,,
temp,2024-08-27 19:00:00,11.1765,,
temp,2024-08-27 20:00:00,11.1894,,
temp,2024-08-27 21:00:00,11.1532,,
temp,2024-08-27 22:00:00,11.0727,,
temp,2024-08-27 23:00:00,10.9942,,
