Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-01 00:00:00,11.3969,,
temp,2024-09-01 01:00:00,11.3838,,
temp,2024-09-01 02:00:00,11.3867,,
temp,2024-09-01 03:00:00,11.3882,,
temp,2024-09-01 04:00:00,11.3703,,
temp,2024-09-01 05:00:00,11.3494,,
temp,2024-09-01 06:00:00,11.3397,,
temp,2024-09-01 07:00:00,11.3217,,
temp,2024-09-01 08:00:00,11.3029,,
temp,2024-09-01 09:00:00,11.2962,,
temp,2024-09-01 10:00:00,11.2909,,
temp,2024-09-01 11:00:00,11.2714,,
temp,2024-09-01 12:00:00,11.2383,,
temp,2024-09-01 13:00:00,11.2637,,
temp,2024-09-01 14:00:00,11.3808,,
temp,2024-09-01 15:00:00,11.4508,,
temp,2024-09-01 16:00:00,11.5455,,
temp,2024-09-01 17:00:00,11.54,,
temp,2024-09-01 18:00:00,11.5801,,
temp,2024-09-01 19:00:00,11.6199,,
temp,2024-09-01 20:00:00,11.5581,,
temp,2024-09-01 21:00:00,11.5276,,
temp,2024-09-01 22:00:00,11.4908,,
temp,2024-09-01 23:00:00,11.4688,,
