Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-10-09 00:00:00,11.2598,,
temp,2024-10-09 01:00:00,11.2369,,
temp,2024-10-09 02:00:00,11.2393,,
temp,2024-10-09 03:00:00,11.2482,,
temp,2024-10-09 04:00:00,11.241,,
temp,2024-10-09 05:00:00,11.2301,,
temp,2024-10-09 06:00:00,11.2202,,
temp,2024-10-09 07:00:00,11.2388,,
temp,2024-10-09 08:00:00,11.25,,
temp,2024-10-09 09:00:00,11.2648,,
temp,2024-10-09 10:00:00,11.2758,,
temp,2024-10-09 11:00:00,11.3321,,
temp,2024-10-09 12:00:00,11.31,,
temp,2024-10-09 13:00:00,11.398,,
temp,2024-10-09 14:00:00,11.4854,,
temp,2024-10-09 15:00:00,11.425,,
temp,2024-10-09 16:00:00,11.426,,
temp,2024-10-09 17:00:00,11.4895,,
temp,2024-10-09 18:00:00,11.5452,,
temp,2024-10-09 19:00:00,11.5706,,
temp,2024-10-09 20:00:00,11.5337,,
temp,2024-10-09 21:00:00,11.4882,,
temp,2024-10-09 22:00:00,11.4202,,
temp,2024-10-09 23:00:00,11.3531,,
