Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-25 00:00:00,11.7963,,
temp,2024-09-25 01:00:00,11.7094,,
temp,2024-09-25 02:00:00,11.6733,,
temp,2024-09-25 03:00:00,11.6126,,
temp,2024-09-25 04:00:00,11.5012,,
temp,2024-09-25 05:00:00,11.4433,,
temp,2024-09-25 06:00:00,11.3511,,
temp,2024-09-25 07:00:00,11.2513,,
temp,2024-09-25 08:00:00,11.203,,
temp,2024-09-25 09:00:00,11.1933,,
temp,2024-09-25 10:00:00,11.2068,,
temp,2024-09-25 11:00:00,11.2409,,
temp,2024-09-25 12:00:00,11.2934,,
temp,2024-09-25 13:00:00,11.3402,,
temp,2024-09-25 14:00:00,11.3491,,
temp,2024-09-25 15:00:00,11.3569,,
temp,2024-09-25 16:00:00,11.4485,,
temp,2024-09-25 17:00:00,11.5401,,
temp,2024-09-25 18:00:00,11.5374,,
temp,2024-09-25 19:00:00,11.5372,,
temp,2024-09-25 20:00:00,11.5458,,
temp,2024-09-25 21:00:00,11.5524,,
temp,2024-09-25 22:00:00,11.5821,,
temp,2024-09-25 23:00:00,11.5418,,
