Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-26 00:00:00,11.5135,,
temp,2024-09-26 01:00:00,11.4888,,
temp,2024-09-26 02:00:00,11.529,,
temp,2024-09-26 03:00:00,11.4779,,
temp,2024-09-26 04:00:00,11.4354,,
temp,2024-09-26 05:00:00,11.3817,,
temp,2024-09-26 06:00:00,11.3326,,
temp,2024-09-26 07:00:00,11.2993,,
temp,2024-09-26 08:00:00,11.2839,,
temp,2024-09-26 09:00:00,11.2882,,
temp,2024-09-26 10:00:00,11.3264,,
temp,2024-09-26 11:00:00,11.3749,,
temp,2024-09-26 12:00:00,11.5035,,
temp,2024-09-26 13:00:00,11.5763,,
temp,2024-09-26 14:00:00,11.6441,,
temp,2024-09-26 15:00:00,11.7029,,
temp,2024-09-26 16:00:00,11.6735,,
temp,2024-09-26 17:00:00,11.6238,,
temp,2024-09-26 18:00:00,11.6542,,
temp,2024-09-26 19:00:00,11.5986,,
temp,2024-09-26 20:00:00,11.5573,,
temp,2024-09-26 21:00:00,11.5001,,
temp,2024-09-26 22:00:00,11.474,,
temp,2024-09-26 23:00:00,11.4371,,
