Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-10-17 00:00:00,11.6764,,
temp,2024-10-17 01:00:00,11.6438,,
temp,2024-10-17 02:00:00,11.6228,,
temp,2024-10-17 03:00:00,11.5977,,
temp,2024-10-17 04:00:00,11.5534,,
temp,2024-10-17 05:00:00,11.5467,,
temp,2024-10-17 06:00:00,11.5163,,
temp,2024-10-17 07:00:00,11.5252,,
temp,2024-10-17 08:00:00,11.5396,,
temp,2024-10-17 09:00:00,11.5313,,
temp,2024-10-17 10:00:00,11.5681,,
temp,2024-10-17 11:00:00,11.9584,,
temp,2024-10-17 12:00:00,12.0719,,
temp,2024-10-17 13:00:00,12.2397,,
temp,2024-10-17 14:00:00,12.2191,,
temp,2024-10-17 15:00:00,11.9986,,
temp,2024-10-17 16:00:00,12.0837,,
temp,2024-10-17 17:00:00,12.133,,
temp,2024-10-17 18:00:00,12.15,,
temp,2024-10-17 19:00:00,12.0027,,
temp,2024-10-17 20:00:00,11.9139,,
temp,2024-10-17 21:00:00,11.8062,,
temp,2024-10-17 22:00:00,11.7384,,
temp,2024-10-17 23:00:00,11.7468,,
