Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-18 00:00:00,10.8967,,
temp,2024-09-18 01:00:00,10.8953,,
temp,2024-09-18 02:00:00,10.8408,,
temp,2024-09-18 03:00:00,10.829,,
temp,2024-09-18 04:00:00,10.7775,,
temp,2024-09-18 05:00:00,10.7934,,
temp,2024-09-18 06:00:00,10.7662,,
temp,2024-09-18 07:00:00,10.7647,,
temp,2024-09-18 08:00:00,10.7784,,
temp,2024-09-18 09:00:00,10.7761,,
temp,2024-09-18 10:00:00,10.7195,,
temp,2024-09-18 11:00:00,10.6708,,
temp,2024-09-18 12:00:00,10.6589,,
temp,2024-09-18 13:00:00,10.6627,,
temp,2024-09-18 14:00:00,10.689,,
temp,2024-09-18 15:00:00,10.7278,,
temp,2024-09-18 16:00:00,10.7335,,
temp,2024-09-18 17:00:00,10.6609,,
temp,2024-09-18 18:00:00,10.5644,,
temp,2024-09-18 19:00:00,10.518,,
temp,2024-09-18 20:00:00,10.4603,,
temp,2024-09-18 21:00:00,10.4681,,
temp,2024-09-18 22:00:00,10.4955,,
temp,2024-09-18 23:00:00,10.4539,,
