Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-14 00:00:00,10.6497,,
temp,2024-09-14 01:00:00,10.7239,,
temp,2024-09-14 02:00:00,10.7158,,
temp,2024-09-14 03:00:00,10.7149,,
temp,2024-09-14 04:00:00,10.7038,,
temp,2024-09-14 05:00:00,10.698,,
temp,2024-09-14 06:00:00,10.6898,,
temp,2024-09-14 07:00:00,10.6695,,
temp,2024-09-14 08:00:00,10.6523,,
temp,2024-09-14 09:00:00,10.6478,,
temp,2024-09-14 10:00:00,10.6684,,
temp,2024-09-14 11:00:00,10.7226,,
temp,2024-09-14 12:00:00,10.7557,,
temp,2024-09-14 13:00:00,10.8012,,
temp,2024-09-14 14:00:00,10.701,,
temp,2024-09-14 15:00:00,10.7035,,
temp,2024-09-14 16:00:00,10.6682,,
temp,2024-09-14 17:00:00,10.7115,,
temp,2024-09-14 18:00:00,10.6936,,
temp,2024-09-14 19:00:00,10.6883,,
temp,2024-09-14 20:00:00,10.7283,,
temp,2024-09-14 21:00:00,10.699,,
temp,2024-09-14 22:00:00,10.6593,,
temp,2024-09-14 23:00:00,10.6382,,
