Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-10-03 00:00:00,11.7273,,
temp,2024-10-03 01:00:00,11.6891,,
temp,2024-10-03 02:00:00,11.712,,
temp,2024-10-03 03:00:00,11.6349,,
temp,2024-10-03 04:00:00,11.5701,,
temp,2024-10-03 05:00:00,11.5294,,
temp,2024-10-03 06:00:00,11.4149,,
temp,2024-10-03 07:00:00,11.3466,,
temp,2024-10-03 08:00:00,11.3376,,
temp,2024-10-03 09:00:00,11.3006,,
temp,2024-10-03 10:00:00,11.3392,,
temp,2024-10-03 11:00:00,11.5153,,
temp,2024-10-03 12:00:00,11.6469,,
temp,2024-10-03 13:00:00,11.8369,,
temp,2024-10-03 14:00:00,11.9836,,
temp,2024-10-03 15:00:00,12.1904,,
temp,2024-10-03 16:00:00,12.2056,,
temp,2024-10-03 17:00:00,12.1303,,
temp,2024-10-03 18:00:00,12.0227,,
temp,2024-10-03 19:00:00,12.0492,,
temp,2024-10-03 20:00:00,12.0143,,
temp,2024-10-03 21:00:00,12.0296,,
temp,2024-10-03 22:00:00,12.0419,,
temp,2024-10-03 23:00:00,12.0432,,
