Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-13 00:00:00,10.5659,,
temp,2024-09-13 01:00:00,10.5459,,
temp,2024-09-13 02:00:00,10.6123,,
temp,2024-09-13 03:00:00,10.5999,,
temp,2024-09-13 04:00:00,10.6023,,
temp,2024-09-13 05:00:00,10.6517,,
temp,2024-09-13 06:00:00,10.6952,,
temp,2024-09-13 07:00:00,10.6865,,
temp,2024-09-13 08:00:00,10.5533,,
temp,2024-09-13 09:00:00,10.5585,,
temp,2024-09-13 10:00:00,10.6077,,
temp,2024-09-13 11:00:00,10.6372,,
temp,2024-09-13 12:00:00,10.6962,,
temp,2024-09-13 13:00:00,10.7189,,
temp,2024-09-13 14:00:00,10.733,,
temp,2024-09-13 15:00:00,10.7379,,
temp,2024-09-13 16:00:00,10.7459,,
temp,2024-09-13 17:00:00,10.7031,,
temp,2024-09-13 18:00:00,10.7112,,
temp,2024-09-13 19:00:00,10.6704,,
temp,2024-09-13 20:00:00,10.6597,,
temp,2024-09-13 21:00:00,10.6148,,
temp,2024-09-13 22:00:00,10.5622,,
temp,2024-09-13 23:00:00,10.6335,,
