Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-10-23 00:00:00,12.1483,,
temp,2024-10-23 01:00:00,11.9701,,
temp,2024-10-23 02:00:00,12.0176,,
temp,2024-10-23 03:00:00,12.0042,,
temp,2024-10-23 04:00:00,12.0479,,
temp,2024-10-23 05:00:00,11.9818,,
temp,2024-10-23 06:00:00,11.9395,,
temp,2024-10-23 07:00:00,11.9342,,
temp,2024-10-23 08:00:00,11.9573,,
temp,2024-10-23 09:00:00,11.9788,,
temp,2024-10-23 10:00:00,11.999,,
temp,2024-10-23 11:00:00,12.0075,,
temp,2024-10-23 12:00:00,11.9755,,
temp,2024-10-23 13:00:00,11.9943,,
temp,2024-10-23 14:00:00,12.0441,,
temp,2024-10-23 15:00:00,12.1168,,
temp,2024-10-23 16:00:00,12.1637,,
temp,2024-10-23 17:00:00,12.2233,,
temp,2024-10-23 18:00:00,12.3403,,
temp,2024-10-23 19:00:00,12.4054,,
temp,2024-10-23 20:00:00,12.3794,,
temp,2024-10-23 21:00:00,12.301,,
temp,2024-10-23 22:00:00,12.2227,,
temp,2024-10-23 23:00:00,12.1822,,
