Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-08-23 00:00:00,10.5736,,
temp,2024-08-23 01:00:00,10.5445,,
temp,2024-08-23 02:00:00,10.5158,,
temp,2024-08-23 03:00:00,10.4817,,
temp,2024-08-23 04:00:00,10.4186,,
temp,2024-08-23 05:00:00,10.3887,,
temp,2024-08-23 06:00:00,10.4194,,
temp,2024-08-23 07:00:00,10.3785,,
temp,2024-08-23 08:00:00,10.3587,,
temp,2024-08-23 09:00:00,10.3508,,
temp,2024-08-23 10:00:00,10.3398,,
temp,2024-08-23 11:00:00,10.3721,,
temp,2024-08-23 12:00:00,10.3399,,
temp,2024-08-23 13:00:00,10.3217,,
temp,2024-08-23 14:00:00,10.3615,,
temp,2024-08-23 15:00:00,10.4258,,
temp,2024-08-23 16:00:00,10.4542,,
temp,2024-08-23 17:00:00,10.5577,,
temp,2024-08-23 18:00:00,10.596,,
temp,2024-08-23 19:00:00,10.7003,,
temp,2024-08-23 20:00:00,10.6432,,
temp,2024-08-23 21:00:00,10.6898,,
temp,2024-08-23 22:00:00,10.5758,,
temp,2024-08-23 23:00:00,10.5195,,
