Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-05 00:00:00,10.9725,,
temp,2024-09-05 01:00:00,10.9706,,
temp,2024-09-05 02:00:00,10.9709,,
temp,2024-09-05 03:00:00,10.9055,,
temp,2024-09-05 04:00:00,10.8488,,
temp,2024-09-05 05:00:00,10.8358,,
temp,2024-09-05 06:00:00,10.8271,,
temp,2024-09-05 07:00:00,10.8181,,
temp,2024-09-05 08:00:00,10.8123,,
temp,2024-09-05 09:00:00,10.8358,,
temp,2024-09-05 10:00:00,10.8517,,
temp,2024-09-05 11:00:00,10.8536,,
temp,2024-09-05 12:00:00,10.8436,,
temp,2024-09-05 13:00:00,10.8358,,
temp,2024-09-05 14:00:00,10.8497,,
temp,2024-09-05 15:00:00,10.8736,,
temp,2024-09-05 16:00:00,10.9053,,
temp,2024-09-05 17:00:00,10.9185,,
temp,2024-09-05 18:00:00,10.9534,,
temp,2024-09-05 19:00:00,11.0783,,
temp,2024-09-05 20:00:00,11.2032,,
temp,2024-09-05 21:00:00,11.2721,,
temp,2024-09-05 22:00:00,11.2605,,
temp,2024-09-05 23:00:00,11.2302,,
