Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-29 00:00:00,12.268,,
temp,2024-09-29 01:00:00,12.4685,,
temp,2024-09-29 02:00:00,12.4966,,
temp,2024-09-29 03:00:00,12.4972,,
temp,2024-09-29 04:00:00,12.4324,,
temp,2024-09-29 05:00:00,12.4444,,
temp,2024-09-29 06:00:00,12.3641,,
temp,2024-09-29 07:00:00,12.2453,,
temp,2024-09-29 08:00:00,12.1304,,
temp,2024-09-29 09:00:00,12.1244,,
temp,2024-09-29 10:00:00,12.1324,,
temp,2024-09-29 11:00:00,12.0873,,
temp,2024-09-29 12:00:00,12.0495,,
temp,2024-09-29 13:00:00,11.9823,,
temp,2024-09-29 14:00:00,11.9354,,
temp,2024-09-29 15:00:00,11.8065,,
temp,2024-09-29 16:00:00,11.7386,,
temp,2024-09-29 17:00:00,11.7347,,
temp,2024-09-29 18:00:00,11.692,,
temp,2024-09-29 19:00:00,11.6285,,
temp,2024-09-29 20:00:00,11.5948,,
temp,2024-09-29 21:00:00,11.5708,,
temp,2024-09-29 22:00:00,11.548,,
temp,2024-09-29 23:00:00,11.4859,,
