Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-10-04 00:00:00,11.9797,,
temp,2024-10-04 01:00:00,11.9755,,
temp,2024-10-04 02:00:00,11.9323,,
temp,2024-10-04 03:00:00,11.8917,,
temp,2024-10-04 04:00:00,11.8575,,
temp,2024-10-04 05:00:00,11.8213,,
temp,2024-10-04 06:00:00,11.8042,,
temp,2024-10-04 07:00:00,11.8008,,
temp,2024-10-04 08:00:00,11.8074,,
temp,2024-10-04 09:00:00,11.8451,,
temp,2024-10-04 10:00:00,11.982,,
temp,2024-10-04 11:00:00,12.0592,,
temp,2024-10-04 12:00:00,12.1812,,
temp,2024-10-04 13:00:00,12.3134,,
temp,2024-10-04 14:00:00,12.2812,,
temp,2024-10-04 15:00:00,12.3009,,
temp,2024-10-04 16:00:00,12.2152,,
temp,2024-10-04 17:00:00,12.0339,,
temp,2024-10-04 18:00:00,11.9071,,
temp,2024-10-04 19:00:00,11.7185,,
temp,2024-10-04 20:00:00,11.6281,,
temp,2024-10-04 21:00:00,11.6182,,
temp,2024-10-04 22:00:00,11.6317,,
temp,2024-10-04 23:00:00,11.6192,,
