Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-10-25 00:00:00,12.1228,,
temp,2024-10-25 01:00:00,12.1423,,
temp,2024-10-25 02:00:00,12.0931,,
temp,2024-10-25 03:00:00,12.1131,,
temp,2024-10-25 04:00:00,12.1362,,
temp,2024-10-25 05:00:00,12.1405,,
temp,2024-10-25 06:00:00,12.1425,,
temp,2024-10-25 07:00:00,12.1124,,
temp,2024-10-25 08:00:00,12.105,,
temp,2024-10-25 09:00:00,12.1423,,
temp,2024-10-25 10:00:00,12.2112,,
temp,2024-10-25 11:00:00,12.2798,,
temp,2024-10-25 12:00:00,12.3457,,
temp,2024-10-25 13:00:00,12.4071,,
temp,2024-10-25 14:00:00,12.4276,,
temp,2024-10-25 15:00:00,12.4572,,
temp,2024-10-25 16:00:00,12.4954,,
temp,2024-10-25 17:00:00,12.4553,,
temp,2024-10-25 18:00:00,12.4799,,
temp,2024-10-25 19:00:00,12.4052,,
temp,2024-10-25 20:00:00,12.314,,
temp,2024-10-25 21:00:00,12.239,,
temp,2024-10-25 22:00:00,12.0797,,
temp,2024-10-25 23:00:00,11.9824,,
