Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-20 00:00:00,10.6045,,
temp,2024-09-20 01:00:00,10.5715,,
temp,2024-09-20 02:00:00,10.5756,,
temp,2024-09-20 03:00:00,10.5931,,
temp,2024-09-20 04:00:00,10.6051,,
temp,2024-09-20 05:00:00,10.6173,,
temp,2024-09-20 06:00:00,10.6189,,
temp,2024-09-20 07:00:00,10.6188,,
temp,2024-09-20 08:00:00,10.6296,,
temp,2024-09-20 09:00:00,10.6375,,
temp,2024-09-20 10:00:00,10.692,,
temp,2024-09-20 11:00:00,10.7521,,
temp,2024-09-20 12:00:00,10.8028,,
temp,2024-09-20 13:00:00,10.939,,
temp,2024-09-20 14:00:00,11.0482,,
temp,2024-09-20 15:00:00,11.0669,,
temp,2024-09-20 16:00:00,11.1167,,
temp,2024-09-20 17:00:00,11.0771,,
temp,2024-09-20 18:00:00,11.1136,,
temp,2024-09-20 19:00:00,11.0333,,
temp,2024-09-20 20:00:00,10.9497,,
temp,2024-09-20 21:00:00,10.8467,,
temp,2024-09-20 22:00:00,10.8097,,
temp,2024-09-20 23:00:00,10.7816,,
