Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-08-28 00:00:00,10.8949,,
temp,2024-08-28 01:00:00,10.9079,,
temp,2024-08-28 02:00:00,10.9072,,
temp,2024-08-28 03:00:00,10.94,,
temp,2024-08-28 04:00:00,10.9991,,
temp,2024-08-28 05:00:00,11.0309,,
temp,2024-08-28 06:00:00,11.0092,,
temp,2024-08-28 07:00:00,10.9707,,
temp,2024-08-28 08:00:00,10.94,,
temp,2024-08-28 09:00:00,10.9278,,
temp,2024-08-28 10:00:00,10.9219,,
temp,2024-08-28 11:00:00,10.9195,,
temp,2024-08-28 12:00:00,10.8861,,
temp,2024-08-28 13:00:00,10.9049,,
temp,2024-08-28 14:00:00,10.9407,,
temp,2024-08-28 15:00:00,10.9885,,
temp,2024-08-28 16:00:00,11.0704,,
temp,2024-08-28 17:00:00,11.0277,,
temp,2024-08-28 18:00:00,10.9518,,
temp,2024-08-28 19:00:00,11.0405,,
temp,2024-08-28 20:00:00,11.0943,,
temp,2024-08-28 21:00:00,11.0979,,
temp,2024-08-28 22:00:00,11.0384,,
temp,2024-08-28 23:00:00,11.0928,,
