Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-08-29 00:00:00,11.125,,
temp,2024-08-29 01:00:00,11.0236,,
temp,2024-08-29 02:00:00,11.111,,
temp,2024-08-29 03:00:00,11.177,,
temp,2024-08-29 04:00:00,11.1115,,
temp,2024-08-29 05:00:00,11.0509,,
temp,2024-08-29 06:00:00,11.0115,,
temp,2024-08-29 07:00:00,10.9985,,
temp,2024-08-29 08:00:00,10.9457,,
temp,2024-08-29 09:00:00,10.9179,,
temp,2024-08-29 10:00:00,10.836,,
temp,2024-08-29 11:00:00,10.8232,,
temp,2024-08-29 12:00:00,10.8176,,
temp,2024-08-29 13:00:00,10.7812,,
temp,2024-08-29 14:00:00,10.802,,
temp,2024-08-29 15:00:00,10.8586,,
temp,2024-08-29 16:00:00,10.9234,,
temp,2024-08-29 17:00:00,10.9711,,
temp,2024-08-29 18:00:00,11.1709,,
temp,2024-08-29 19:00:00,11.3721,,
temp,2024-08-29 20:00:00,11.5675,,
temp,2024-08-29 21:00:00,11.6226,,
temp,2024-08-29 22:00:00,11.5803,,
temp,2024-08-29 23:00:00,11.5355,,
