Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-15 00:00:00,10.62,,
temp,2024-09-15 01:00:00,10.6145,,
temp,2024-09-15 02:00:00,10.6144,,
temp,2024-09-15 03:00:00,10.5988,,
temp,2024-09-15 04:00:00,10.593,,
temp,2024-09-15 05:00:00,10.551,,
temp,2024-09-15 06:00:00,10.5387,,
temp,2024-09-15 07:00:00,10.5262,,
temp,2024-09-15 08:00:00,10.5305,,
temp,2024-09-15 09:00:00,10.5469,,
temp,2024-09-15 10:00:00,10.5819,,
temp,2024-09-15 11:00:00,10.6123,,
temp,2024-09-15 12:00:00,10.6731,,
temp,2024-09-15 13:00:00,10.7287,,
temp,2024-09-15 14:00:00,10.76,,
temp,2024-09-15 15:00:00,10.7934,,
temp,2024-09-15 16:00:00,10.8272,,
temp,2024-09-15 17:00:00,10.849,,
temp,2024-09-15 18:00:00,10.8354,,
temp,2024-09-15 19:00:00,10.8068,,
temp,2024-09-15 20:00:00,10.7627,,
temp,2024-09-15 21:00:00,10.7523,,
temp,2024-09-15 22:00:00,10.7191,,
temp,2024-09-15 23:00:00,10.6782,,
