Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-16 00:00:00,10.6402,,
temp,2024-09-16 01:00:00,10.5976,,
temp,2024-09-16 02:00:00,10.5314,,
temp,2024-09-16 03:00:00,10.4856,,
temp,2024-09-16 04:00:00,10.4648,,
temp,2024-09-16 05:00:00,10.4625,,
temp,2024-09-16 06:00:00,10.4674,,
temp,2024-09-16 07:00:00,10.4778,,
temp,2024-09-16 08:00:00,10.5129,,
temp,2024-09-16 09:00:00,10.5396,,
temp,2024-09-16 10:00:00,10.5622,,
temp,2024-09-16 11:00:00,10.5863,,
temp,2024-09-16 12:00:00,10.6395,,
temp,2024-09-16 13:00:00,10.7428,,
temp,2024-09-16 14:00:00,10.781,,
temp,2024-09-16 15:00:00,10.8278,,
temp,2024-09-16 16:00:00,10.7337,,
temp,2024-09-16 17:00:00,10.686,,
temp,2024-09-16 18:00:00,10.6079,,
temp,2024-09-16 19:00:00,10.6737,,
temp,2024-09-16 20:00:00,10.7031,,
temp,2024-09-16 21:00:00,10.5938,,
temp,2024-09-16 22:00:00,10.5895,,
temp,2024-09-16 23:00:00,10.5906,,
