Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-12 00:00:00,10.858,,
temp,2024-09-12 01:00:00,10.9349,,
temp,2024-09-12 02:00:00,10.9533,,
temp,2024-09-12 03:00:00,10.9274,,
temp,2024-09-12 04:00:00,10.8756,,
temp,2024-09-12 05:00:00,10.8461,,
temp,2024-09-12 06:00:00,10.8579,,
temp,2024-09-12 07:00:00,10.8774,,
temp,2024-09-12 08:00:00,10.8773,,
temp,2024-09-12 09:00:00,10.8476,,
temp,2024-09-12 10:00:00,10.9083,,
temp,2024-09-12 11:00:00,10.9312,,
temp,2024-09-12 12:00:00,11.1106,,
temp,2024-09-12 13:00:00,11.1609,,
temp,2024-09-12 14:00:00,11.2541,,
temp,2024-09-12 15:00:00,11.1617,,
temp,2024-09-12 16:00:00,11.1111,,
temp,2024-09-12 17:00:00,10.7595,,
temp,2024-09-12 18:00:00,10.67,,
temp,2024-09-12 19:00:00,10.6594,,
temp,2024-09-12 20:00:00,10.6527,,
temp,2024-09-12 21:00:00,10.6322,,
temp,2024-09-12 22:00:00,10.627,,
temp,2024-09-12 23:00:00,10.5987,,
