Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-10-06 00:00:00,11.9965,,
temp,2024-10-06 01:00:00,12.0205,,
temp,2024-10-06 02:00:00,12.0027,,
temp,2024-10-06 03:00:00,12.0123,,
temp,2024-10-06 04:00:00,11.9911,,
temp,2024-10-06 05:00:00,11.9873,,
temp,2024-10-06 06:00:00,11.9742,,
temp,2024-10-06 07:00:00,11.8974,,
temp,2024-10-06 08:00:00,11.8568,,
temp,2024-10-06 09:00:00,11.8207,,
temp,2024-10-06 10:00:00,11.7528,,
temp,2024-10-06 11:00:00,11.7307,,
temp,2024-10-06 12:00:00,11.6702,,
temp,2024-10-06 13:00:00,11.5793,,
temp,2024-10-06 14:00:00,11.4862,,
temp,2024-10-06 15:00:00,11.5003,,
temp,2024-10-06 16:00:00,11.4757,,
temp,2024-10-06 17:00:00,11.4381,,
temp,2024-10-06 18:00:00,11.4216,,
temp,2024-10-06 19:00:00,11.3765,,
temp,2024-10-06 20:00:00,11.3566,,
temp,2024-10-06 21:00:00,11.3013,,
temp,2024-10-06 22:00:00,11.2415,,
temp,2024-10-06 23:00:00,11.1652,,
