Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-23 00:00:00,10.6769,,
temp,2024-09-23 01:00:00,10.6872,,
temp,2024-09-23 02:00:00,10.7261,,
temp,2024-09-23 03:00:00,10.7424,,
temp,2024-09-23 04:00:00,10.7373,,
temp,2024-09-23 05:00:00,10.7082,,
temp,2024-09-23 06:00:00,10.7076,,
temp,2024-09-23 07:00:00,10.7046,,
temp,2024-09-23 08:00:00,10.7214,,
temp,2024-09-23 09:00:00,10.7592,,
temp,2024-09-23 10:00:00,10.8372,,
temp,2024-09-23 11:00:00,10.9221,,
temp,2024-09-23 12:00:00,10.9752,,
temp,2024-09-23 13:00:00,11.0368,,
temp,2024-09-23 14:00:00,11.1086,,
temp,2024-09-23 15:00:00,11.2311,,
temp,2024-09-23 16:00:00,11.1733,,
temp,2024-09-23 17:00:00,11.2471,,
temp,2024-09-23 18:00:00,11.1898,,
temp,2024-09-23 19:00:00,11.296,,
temp,2024-09-23 20:00:00,11.3144,,
temp,2024-09-23 21:00:00,11.3292,,
temp,2024-09-23 22:00:00,11.2866,,
temp,2024-09-23 23:00:00,11.2902,,
