Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-24 00:00:00,11.2749,,
temp,2024-09-24 01:00:00,11.2398,,
temp,2024-09-24 02:00:00,11.2063,,
temp,2024-09-24 03:00:00,11.112,,
temp,2024-09-24 04:00:00,11.0856,,
temp,2024-09-24 05:00:00,11.0288,,
temp,2024-09-24 06:00:00,10.9666,,
temp,2024-09-24 07:00:00,10.916,,
temp,2024-09-24 08:00:00,10.9173,,
temp,2024-09-24 09:00:00,10.9606,,
temp,2024-09-24 10:00:00,11.0124,,
temp,2024-09-24 11:00:00,11.0887,,
temp,2024-09-24 12:00:00,11.1752,,
temp,2024-09-24 13:00:00,11.4606,,
temp,2024-09-24 14:00:00,11.7539,,
temp,2024-09-24 15:00:00,11.8825,,
temp,2024-09-24 16:00:00,11.9745,,
temp,2024-09-24 17:00:00,12.0264,,
temp,2024-09-24 18:00:00,12.0186,,
temp,2024-09-24 19:00:00,12.0108,,
temp,2024-09-24 20:00:00,12.0331,,
temp,2024-09-24 21:00:00,12.158,,
temp,2024-09-24 22:00:00,12.0644,,
temp,2024-09-24 23:00:00,12.0177,,
