Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-30 00:00:00,11.4539,,
temp,2024-09-30 01:00:00,11.4249,,
temp,2024-09-30 02:00:00,11.3679,,
temp,2024-09-30 03:00:00,11.3087,,
temp,2024-09-30 04:00:00,11.2568,,
temp,2024-09-30 05:00:00,11.2192,,
temp,2024-09-30 06:00:00,11.2231,,
temp,2024-09-30 07:00:00,11.2399,,
temp,2024-09-30 08:00:00,11.2675,,
temp,2024-09-30 09:00:00,11.2845,,
temp,2024-09-30 10:00:00,11.2995,,
temp,2024-09-30 11:00:00,11.3832,,
temp,2024-09-30 12:00:00,11.4561,,
temp,2024-09-30 13:00:00,11.5277,,
temp,2024-09-30 14:00:00,11.5491,,
temp,2024-09-30 15:00:00,11.5417,,
temp,2024-09-30 16:00:00,11.5037,,
temp,2024-09-30 17:00:00,11.5568,,
temp,2024-09-30 18:00:00,11.6288,,
temp,2024-09-30 19:00:00,11.7654,,
temp,2024-09-30 20:00:00,11.8058,,
temp,2024-09-30 21:00:00,11.8181,,
temp,2024-09-30 22:00:00,11.736,,
temp,2024-09-30 23:00:00,11.7207,,
