Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-10-13 00:00:00,11.3888,,
temp,2024-10-13 01:00:00,11.3321,,
temp,2024-10-13 02:00:00,11.2026,,
temp,2024-10-13 03:00:00,11.0511,,
temp,2024-10-13 04:00:00,10.9699,,
temp,2024-10-13 05:00:00,11.144,,
temp,2024-10-13 06:00:00,11.4098,,
temp,2024-10-13 07:00:00,11.7557,,
temp,2024-10-13 08:00:00,11.683,,
temp,2024-10-13 09:00:00,11.6345,,
temp,2024-10-13 10:00:00,11.5968,,
temp,2024-10-13 11:00:00,11.7109,,
temp,2024-10-13 12:00:00,11.8963,,
temp,2024-10-13 13:00:00,12.1031,,
temp,2024-10-13 14:00:00,12.081,,
temp,2024-10-13 15:00:00,12.105,,
temp,2024-10-13 16:00:00,12.0099,,
temp,2024-10-13 17:00:00,11.9051,,
temp,2024-10-13 18:00:00,11.7182,,
temp,2024-10-13 19:00:00,11.7307,,
temp,2024-10-13 20:00:00,11.6208,,
temp,2024-10-13 21:00:00,11.5123,,
temp,2024-10-13 22:00:00,11.4559,,
temp,2024-10-13 23:00:00,11.3918,,
