Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-10-21 00:00:00,11.2841,,
temp,2024-10-21 01:00:00,11.3423,,
temp,2024-10-21 02:00:00,11.3869,,
temp,2024-10-21 03:00:00,11.4133,,
temp,2024-10-21 04:00:00,11.4182,,
temp,2024-10-21 05:00:00,11.4112,,
temp,2024-10-21 06:00:00,11.3977,,
temp,2024-10-21 07:00:00,11.3895,,
temp,2024-10-21 08:00:00,11.3987,,
temp,2024-10-21 09:00:00,11.5242,,
temp,2024-10-21 10:00:00,11.7219,,
temp,2024-10-21 11:00:00,11.9897,,
temp,2024-10-21 12:00:00,11.8955,,
temp,2024-10-21 13:00:00,11.8616,,
temp,2024-10-21 14:00:00,11.8305,,
temp,2024-10-21 15:00:00,11.8347,,
temp,2024-10-21 16:00:00,11.8134,,
temp,2024-10-21 17:00:00,11.8075,,
temp,2024-10-21 18:00:00,11.7715,,
temp,2024-10-21 19:00:00,11.7889,,
temp,2024-10-21 20:00:00,11.8378,,
temp,2024-10-21 21:00:00,11.8323,,
temp,2024-10-21 22:00:00,12.3469,,
temp,2024-10-21 23:00:00,12.4364,,
