Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-10-24 00:00:00,12.156,,
temp,2024-10-24 01:00:00,12.1355,,
temp,2024-10-24 02:00:00,12.1272,,
temp,2024-10-24 03:00:00,12.1205,,
temp,2024-10-24 04:00:00,12.1005,,
temp,2024-10-24 05:00:00,12.1107,,
temp,2024-10-24 06:00:00,12.1183,,
temp,2024-10-24 07:00:00,12.1463,,
temp,2024-10-24 08:00:00,12.2214,,
temp,2024-10-24 09:00:00,12.4173,,
temp,2024-10-24 10:00:00,12.6844,,
temp,2024-10-24 11:00:00,12.613,,
temp,2024-10-24 12:00:00,12.5663,,
temp,2024-10-24 14:00:00,12.4584,,
temp,2024-10-24 15:00:00,12.4095,,
temp,2024-10-24 16:00:00,12.5424,,
temp,2024-10-24 17:00:00,12.7112,,
temp,2024-10-24 18:00:00,12.4047,,
temp,2024-10-24 19:00:00,12.3398,,
temp,2024-10-24 20:00:00,12.2797,,
temp,2024-10-24 21:00:00,12.2598,,
temp,2024-10-24 22:00:00,12.2429,,
temp,2024-10-24 23:00:00,12.2142,,
