Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-09 00:00:00,11.2803,,
temp,2024-09-09 01:00:00,11.2478,,
temp,2024-09-09 02:00:00,11.2612,,
temp,2024-09-09 03:00:00,11.2497,,
temp,2024-09-09 04:00:00,11.2214,,
temp,2024-09-09 05:00:00,11.2149,,
temp,2024-09-09 06:00:00,11.1724,,
temp,2024-09-09 07:00:00,11.1619,,
temp,2024-09-09 08:00:00,11.139,,
temp,2024-09-09 09:00:00,11.1041,,
temp,2024-09-09 10:00:00,11.0726,,
temp,2024-09-09 11:00:00,11.0598,,
temp,2024-09-09 12:00:00,11.1051,,
temp,2024-09-09 13:00:00,11.1448,,
temp,2024-09-09 14:00:00,11.0268,,
temp,2024-09-09 15:00:00,10.9589,,
temp,2024-09-09 16:00:00,11.1392,,
temp,2024-09-09 17:00:00,11.3738,,
temp,2024-09-09 18:00:00,11.4259,,
temp,2024-09-09 19:00:00,11.4441,,
temp,2024-09-09 20:00:00,11.3908,,
temp,2024-09-09 21:00:00,11.3658,,
temp,2024-09-09 22:00:00,11.3744,,
temp,2024-09-09 23:00:00,11.2836,,
