Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-21 00:00:00,10.7452,,
temp,2024-09-21 01:00:00,10.7199,,
temp,2024-09-21 02:00:00,10.7026,,
temp,2024-09-21 03:00:00,10.6698,,
temp,2024-09-21 04:00:00,10.6645,,
temp,2024-09-21 05:00:00,10.6635,,
temp,2024-09-21 06:00:00,10.6568,,
temp,2024-09-21 07:00:00,10.6205,,
temp,2024-09-21 08:00:00,10.5677,,
temp,2024-09-21 09:00:00,10.5308,,
temp,2024-09-21 10:00:00,10.5053,,
temp,2024-09-21 11:00:00,10.4785,,
temp,2024-09-21 12:00:00,10.4724,,
temp,2024-09-21 13:00:00,10.4782,,
temp,2024-09-21 14:00:00,10.5378,,
temp,2024-09-21 15:00:00,10.5833,,
temp,2024-09-21 16:00:00,10.6267,,
temp,2024-09-21 17:00:00,10.6444,,
temp,2024-09-21 18:00:00,10.6388,,
temp,2024-09-21 19:00:00,10.6283,,
temp,2024-09-21 20:00:00,10.611,,
temp,2024-09-21 21:00:00,10.578,,
temp,2024-09-21 22:00:00,10.5333,,
temp,2024-09-21 23:00:00,10.5115,,
