Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-09-03 00:00:00,11.1469,,
temp,2024-09-03 01:00:00,11.162,,
temp,2024-09-03 02:00:00,11.1429,,
temp,2024-09-03 03:00:00,11.1319,,
temp,2024-09-03 04:00:00,11.1015,,
temp,2024-09-03 05:00:00,11.0663,,
temp,2024-09-03 06:00:00,11.0671,,
temp,2024-09-03 07:00:00,11.0666,,
temp,2024-09-03 08:00:00,11.0381,,
temp,2024-09-03 09:00:00,10.9893,,
temp,2024-09-03 10:00:00,11.0419,,
temp,2024-09-03 11:00:00,11.0313,,
temp,2024-09-03 12:00:00,10.9808,,
temp,2024-09-03 13:00:00,10.9456,,
temp,2024-09-03 14:00:00,11.0249,,
temp,2024-09-03 15:00:00,11.1718,,
temp,2024-09-03 16:00:00,11.361,,
temp,2024-09-03 17:00:00,11.5235,,
temp,2024-09-03 18:00:00,11.2958,,
temp,2024-09-03 19:00:00,11.2365,,
temp,2024-09-03 20:00:00,11.2384,,
temp,2024-09-03 21:00:00,11.3016,,
temp,2024-09-03 22:00:00,11.4424,,
temp,2024-09-03 23:00:00,11.2954,,
