Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
temp,2024-08-25 00:00:00,10.6617,,
temp,2024-08-25 01:00:00,10.6352,,
temp,2024-08-25 02:00:00,10.5428,,
temp,2024-08-25 03:00:00,10.5011,,
temp,2024-08-25 04:00:00,10.4854,,
temp,2024-08-25 05:00:00,10.4574,,
temp,2024-08-25 06:00:00,10.3976,,
temp,2024-08-25 07:00:00,10.3836,,
temp,2024-08-25 08:00:00,10.3511,,
temp,2024-08-25 09:00:00,10.3396,,
temp,2024-08-25 10:00:00,10.5309,,
temp,2024-08-25 11:00:00,10.5323,,
temp,2024-08-25 12:00:00,10.5072,,
temp,2024-08-25 13:00:00,10.5942,,
temp,2024-08-25 14:00:00,10.5531,,
temp,2024-08-25 15:00:00,10.5054,,
temp,2024-08-25 16:00:00,10.6902,,
temp,2024-08-25 17:00:00,10.9215,,
temp,2024-08-25 18:00:00,11.0688,,
temp,2024-08-25 19:00:00,11.0709,,
temp,2024-08-25 20:00:00,10.8915,,
temp,2024-08-25 21:00:00,10.6999,,
temp,2024-08-25 22:00:00,10.6816,,
temp,2024-08-25 23:00:00,10.6104,,
